W1,W2
29.669999999999998,9.89
28.5,0.9299999999999999
19.950000000000003,8.8
29.64,9.65
0.12,7.52
15.66,6.27
5.159999999999999,9.65
28.29,9.06
18.54,9.91
20.849999999999998,9.57
23.76,9.75
18.69,6.13
18.96,4.43
15.06,3.3400000000000003
3.42,9.49
21.66,6.66
15.72,6.58
1.65,0.61
8.22,3.5199999999999996
15.21,2.37
13.83,2.12
2.61,9.190000000000001
29.46,1.05
14.52,4.1
21.45,2.0300000000000002
1.3499999999999999,7.1
5.159999999999999,0.77
11.82,2.49
12.78,4.76
9.84,6.92
12.66,7.74
15.66,6.83
17.22,6.45
21.39,7.69
28.020000000000003,1.31
13.98,5.629999999999999
19.35,7.1499999999999995
7.47,2.2
23.73,9.84
10.95,0.39
2.5799999999999996,1.1400000000000001
23.490000000000002,3.62
14.309999999999999,3.41
25.08,8.52
10.290000000000001,2.9099999999999997
16.05,0.95
9.780000000000001,9.69
17.13,4.91
20.97,6.15
18.12,0.72
11.58,6.680000000000001
11.370000000000001,9.469999999999999
28.439999999999998,4.84
6.9,1.57
22.11,0.19
24.869999999999997,9.16
9.84,2.74
6.6,5.2
19.32,5.16
21.09,5.5600000000000005
7.32,1.6800000000000002
18.06,7.720000000000001
26.61,0.61
6.57,7.640000000000001
10.649999999999999,3.14
14.28,6.01
10.319999999999999,7.42
8.430000000000001,6.390000000000001
21.0,7.5
13.41,5.6899999999999995
27.990000000000002,9.21
0.15,0.81
13.38,2.71
17.79,1.43
3.33,1.7100000000000002
3.1199999999999997,2.49
21.18,0.95
7.4399999999999995,7.65
24.360000000000003,1.6600000000000001
7.05,5.33
16.830000000000002,6.97
4.17,4.55
28.229999999999997,6.42
18.66,5.57
1.17,1.27
13.14,1.6800000000000002
27.12,8.27
7.98,8.17
1.98,6.42
12.6,7.4399999999999995
16.290000000000003,7.14
8.16,1.03
25.349999999999998,5.45
17.49,2.54
21.45,9.84
7.05,1.0
1.5899999999999999,6.909999999999999
21.689999999999998,9.17
23.310000000000002,8.89
15.57,4.71
20.759999999999998,8.66
14.069999999999999,5.05
3.84,0.36
7.26,5.2700000000000005
13.44,0.19
10.290000000000001,2.72
22.38,3.2800000000000002
27.42,5.93
28.59,6.760000000000001
23.16,3.62
19.38,9.7
3.39,4.069999999999999
26.82,7.68
11.88,1.07
3.57,9.82
19.05,7.79
6.119999999999999,3.2800000000000002
2.1599999999999997,9.17
18.66,2.04
27.51,3.62
19.950000000000003,2.94
0.5399999999999999,4.67
14.52,8.030000000000001
27.060000000000002,8.71
19.53,3.76
22.32,5.37
24.0,9.41
1.8599999999999999,7.38
0.24,4.61
22.86,8.26
19.29,1.49
8.190000000000001,4.72
1.8599999999999999,1.87
12.09,7.82
16.68,2.13
12.299999999999999,7.17
2.31,3.12
3.54,5.7299999999999995
0.38999999999999996,9.86
1.8599999999999999,0.15
20.040000000000003,6.470000000000001
19.26,0.07
15.42,2.13
4.17,4.47
20.490000000000002,0.33
23.34,4.1
17.91,9.91
22.169999999999998,4.25
12.33,5.02
28.47,6.58
24.45,9.21
12.6,4.96
13.770000000000001,9.84
18.57,2.92
24.689999999999998,7.8100000000000005
11.49,0.48
25.08,4.26
26.85,4.1
14.1,2.7
17.61,6.82
23.310000000000002,6.28
6.930000000000001,1.58
22.95,7.42
23.43,4.28
2.28,3.55
18.63,3.05
1.0799999999999998,8.870000000000001
10.83,5.709999999999999
8.76,3.62
16.71,0.62
23.16,4.16
12.6,4.32
0.72,0.8999999999999999
29.58,3.24
29.73,5.03
13.92,1.52
13.83,7.24
25.8,2.63
6.54,0.34
3.66,4.0
7.7700000000000005,6.790000000000001
16.14,1.8399999999999999
27.18,3.0
10.290000000000001,9.58
19.32,5.8999999999999995
3.1199999999999997,9.49
25.71,6.44
25.14,9.559999999999999
16.41,6.67
10.86,2.2600000000000002
23.34,5.21
22.44,8.65
8.13,4.61
15.15,1.34
9.780000000000001,5.5200000000000005
24.18,7.58
17.25,8.52
27.900000000000002,8.96
1.71,8.76
2.79,0.36
16.380000000000003,4.29
15.48,4.28
2.1599999999999997,5.61
23.85,6.1899999999999995
18.66,4.5
11.07,9.89
9.36,3.2800000000000002
23.85,9.48
14.37,9.33
29.52,8.77
8.58,7.94
1.5599999999999998,7.0
13.05,3.61
18.9,7.61
21.54,0.62
28.89,9.07
6.6,2.7600000000000002
21.09,2.3499999999999996
18.21,4.79
23.82,1.58
0.7799999999999999,8.91
22.65,5.5600000000000005
23.73,4.98
9.75,8.09
17.88,5.68
18.12,7.8100000000000005
15.96,0.15
24.509999999999998,9.52
7.68,9.120000000000001
14.73,0.15
7.65,3.46
22.56,0.24
27.96,7.48
14.19,8.4
7.53,4.85
10.74,6.23
12.209999999999999,9.01
10.86,7.109999999999999
29.34,9.09
27.150000000000002,7.3
8.370000000000001,5.24
28.89,4.54
15.21,2.59
10.17,6.550000000000001
14.28,0.35000000000000003
23.82,4.77
19.41,6.18
17.189999999999998,8.16
17.13,8.55
9.03,5.03
3.54,7.25
24.779999999999998,3.61
21.599999999999998,4.2299999999999995
28.05,7.199999999999999
29.58,9.370000000000001
19.11,0.22999999999999998
3.1199999999999997,1.8599999999999999
18.09,4.069999999999999
25.38,3.95
8.31,7.069999999999999
3.99,4.84
24.93,2.7
7.47,0.8899999999999999
2.1,2.7600000000000002
9.99,9.8
29.34,0.44999999999999996
23.16,0.15
18.87,0.27
23.04,4.54
23.490000000000002,5.380000000000001
19.950000000000003,5.859999999999999
21.9,2.64
15.09,1.44
7.4399999999999995,3.19
13.71,9.89
25.86,9.83
21.63,8.16
24.57,0.42000000000000004
15.600000000000001,8.459999999999999
8.85,5.859999999999999
27.21,4.14
15.57,2.2800000000000002
8.16,4.5200000000000005
13.41,7.24
2.76,5.629999999999999
3.75,7.640000000000001
19.26,8.2
26.19,7.82
13.56,6.680000000000001
1.8599999999999999,7.8100000000000005
21.299999999999997,3.61
23.16,4.14
4.4399999999999995,7.199999999999999
7.53,1.79
1.65,7.69
22.53,1.7199999999999998
11.850000000000001,1.3900000000000001
7.71,4.26
10.92,8.44
24.509999999999998,8.78
14.82,6.800000000000001
28.29,7.59
22.830000000000002,6.22
8.34,8.469999999999999
18.18,1.6600000000000001
14.64,7.39
14.1,1.92
7.47,5.470000000000001
9.33,0.25
17.58,5.13
4.319999999999999,6.43
16.290000000000003,1.8900000000000001
9.51,5.8999999999999995
25.8,7.95
3.54,8.77
20.97,8.54
25.53,1.6300000000000001
2.6999999999999997,4.44
23.28,2.8100000000000005
3.0,0.17
11.58,4.640000000000001
2.19,0.24
21.689999999999998,0.78
11.25,9.18
0.32999999999999996,9.200000000000001
21.96,7.800000000000001
13.32,2.07
11.43,2.27
22.53,4.2299999999999995
24.419999999999998,3.81
22.2,0.95
12.299999999999999,9.86
24.72,9.17
7.95,9.549999999999999
12.15,8.76
21.029999999999998,1.4000000000000001
27.42,4.85
1.05,1.6300000000000001
12.0,3.74
1.38,3.55
14.49,7.74
19.59,0.2
22.77,0.3
25.59,4.92
5.010000000000001,5.8999999999999995
28.65,9.66
17.73,4.82
12.75,9.57
1.05,2.45
6.4799999999999995,2.6500000000000004
15.03,0.10999999999999999
26.61,2.6100000000000003
1.8900000000000001,4.33
25.2,1.28
12.389999999999999,8.88
13.860000000000001,4.47
21.599999999999998,3.76
3.75,7.029999999999999
5.159999999999999,3.03
26.43,8.76
24.779999999999998,3.37
26.1,0.24
2.46,6.029999999999999
3.33,0.27
11.97,9.44
25.23,8.66
26.61,0.8899999999999999
14.1,5.709999999999999
6.359999999999999,5.13
18.3,2.2600000000000002
16.68,5.550000000000001
22.62,2.09
25.08,8.49
25.049999999999997,6.18
1.14,3.37
18.81,4.87
21.87,0.41000000000000003
23.07,3.2
19.62,4.88
21.029999999999998,3.37
20.400000000000002,1.9500000000000002
1.38,6.33
13.32,7.800000000000001
0.69,7.4399999999999995
3.9000000000000004,1.96
23.16,4.98
1.0799999999999998,4.47
20.37,9.86
19.35,9.78
7.26,6.1
0.3,2.15
9.33,6.7
22.05,4.71
21.72,2.22
19.32,2.48
28.439999999999998,0.72
5.130000000000001,1.79
5.76,9.290000000000001
11.1,7.86
18.06,4.34
8.489999999999998,6.07
28.349999999999998,1.12
14.040000000000001,2.05
10.86,6.46
24.0,1.12
4.319999999999999,2.4299999999999997
12.0,7.95
10.74,6.23
1.26,4.16
11.01,0.3
28.05,5.91
11.73,1.85
17.43,4.42
8.370000000000001,5.8999999999999995
28.89,9.44
29.58,0.12
14.79,8.08
17.099999999999998,2.8299999999999996
11.370000000000001,5.83
